date,gender,age,workout_type,intensity_level,duration_min,steps,avg_heart_rate,calories_burned
2025-01-01,M,22,Running,High,45,9000,152,520
2025-01-01,F,21,Cycling,Medium,40,6000,140,430
2025-01-01,F,23,Walking,Low,30,5000,115,210
2025-01-02,M,22,Gym Strength,High,60,4000,145,480
2025-01-02,F,24,Running,High,35,8000,158,495
2025-01-02,M,25,Walking,Low,25,4500,112,190
2025-01-03,F,21,Yoga,Low,50,2000,98,160
2025-01-03,M,22,Cycling,Medium,55,7500,138,460
2025-01-03,F,23,Running,High,40,8800,155,510
2025-01-04,M,26,Gym Strength,Medium,45,3500,135,390
2025-01-04,F,24,Walking,Low,30,5200,110,220
2025-01-04,M,22,Running,High,30,8200,160,480
2025-01-05,F,23,Cycling,Medium,60,7000,142,460
2025-01-05,M,25,Yoga,Low,40,1800,96,150
2025-01-05,F,21,Running,High,35,8500,157,500
2025-01-06,M,22,Walking,Low,20,4000,108,170
2025-01-06,F,24,Gym Strength,High,50,3800,148,450
2025-01-06,M,26,Cycling,Medium,45,7200,139,440
2025-01-07,F,23,Running,High,40,9000,161,520
2025-01-07,M,25,Walking,Low,30,5000,112,210
2025-01-07,F,21,Yoga,Low,60,2200,95,170
2025-01-08,M,22,Gym Strength,High,55,3900,150,470
2025-01-08,F,24,Cycling,Medium,50,7400,141,450
2025-01-08,M,26,Running,High,35,8700,159,510
2025-01-09,F,23,Walking,Low,25,4300,109,185
2025-01-09,M,25,Gym Strength,Medium,45,3600,137,400
2025-01-09,F,21,Running,High,30,8100,156,480
2025-01-10,M,22,Cycling,Medium,40,6500,140,430
2025-01-10,F,24,Yoga,Low,45,2100,97,165
2025-01-10,M,26,Walking,Low,35,5200,113,220
2025-01-11,F,23,Running,High,50,9500,163,550
2025-01-11,M,25,Gym Strength,High,60,4000,149,490
2025-01-11,F,21,Cycling,Medium,55,7600,143,470
2025-01-12,M,22,Walking,Low,30,5100,110,215
2025-01-12,F,24,Running,High,40,8900,160,520
2025-01-12,M,26,Yoga,Low,50,2300,96,170
